Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
FES,Forbes Energy Services Ltd,0.4071,$9.04M,n/a,Energy,Oilfield Services/Equipment
FH,FORM Holdings Corp.,1.81,n/a,n/a,Miscellaneous,Multi-Sector Companies
FORM,"FormFactor, Inc.",7.12,$419.46M,2003,Technology,Semiconductors
FORTY,Formula Systems (1985) Ltd.,33.5,$493.11M,n/a,Technology,EDP Services
FORR,"Forrester Research, Inc.",35.84,$637.38M,1996,Consumer Services,Diversified Commercial Services
FTNT,"Fortinet, Inc.",32.48,$5.58B,2009,Technology,Computer peripheral equipment
FBIO,"Fortress Biotech, Inc.",3.04,$147.49M,n/a,Health Care,Major Pharmaceuticals
FWRD,Forward Air Corporation,43.76,$1.33B,n/a,Transportation,Oil Refining/Marketing
FORD,"Forward Industries, Inc.",1.2901,$11.17M,n/a,Consumer Non-Durables,Plastic Products
FWP,Forward Pharma A/S,18.72,$877.44M,2014,Health Care,Major Pharmaceuticals
FOSL,"Fossil Group, Inc.",28.44,$1.37B,1993,Consumer Non-Durables,Consumer Specialties
FMI,"Foundation Medicine, Inc.",16.46,$569.56M,2013,Health Care,Medical Specialities
FXCB,"Fox Chase Bancorp, Inc.",19.49,$229.35M,n/a,Finance,Banks
FOXF,Fox Factory Holding Corp.,16.81,$614.48M,2013,Consumer Non-Durables,Motor Vehicles
FRAN,Francesca&#39;s Holdings Corporation,15.04,$608.84M,2011,Consumer Services,Clothing/Shoe/Accessory Stores
FELE,"Franklin Electric Co., Inc.",32.58,$1.5B,n/a,Consumer Durables,Metal Fabrications
FRED,"Fred&#39;s, Inc.",13.49,$502.28M,1992,Consumer Services,Department/Specialty Retail Stores
RAIL,"Freightcar America, Inc.",14.11,$174.43M,2005,Capital Goods,Railroads
FEIM,"Frequency Electronics, Inc.",10.06,$87.82M,n/a,Capital Goods,Electrical Products
FRPT,"Freshpet, Inc.",9.02,$302.52M,2014,Consumer Non-Durables,Packaged Foods
FTR,Frontier Communications Corporation,5.4,$6.33B,n/a,Public Utilities,Telecommunications Equipment
FTRPR,Frontier Communications Corporation,101.45,n/a,n/a,Public Utilities,Telecommunications Equipment
FRPH,"FRP Holdings, Inc.",33.21,$327.58M,n/a,Finance,Real Estate
FSBW,"FS Bancorp, Inc.",24.72,$77.85M,2012,Finance,Banks
FTD,"FTD Companies, Inc.",25.12,$696.18M,n/a,Consumer Services,Other Consumer Services
FSYS,"Fuel Systems Solutions, Inc.",5.18,$93.73M,n/a,Capital Goods,Auto Parts:O.E.M.
FTEK,"Fuel Tech, Inc.",1.65,$38.23M,n/a,Capital Goods,Pollution Control Equipment
FCEL,"FuelCell Energy, Inc.",5.84,$169.25M,n/a,Miscellaneous,Industrial Machinery/Components
FORK,Fuling Global Inc.,2.39,$37.6M,2015,Consumer Non-Durables,Plastic Products
FULL,Full Circle Capital Corporation,2.5636,$57.61M,2010,n/a,n/a
FULLL,Full Circle Capital Corporation,25.6499,n/a,n/a,n/a,n/a
FLL,"Full House Resorts, Inc.",1.65,$31.3M,n/a,Consumer Services,Hotels/Resorts
FULT,Fulton Financial Corporation,13.48,$2.34B,n/a,Finance,Major Banks
FSNN,"Fusion Telecommunications International, Inc.",1.56,$22.95M,n/a,Technology,Computer Software: Prepackaged Software
FFHL,"Fuwei Films (Holdings) Co., Ltd.",0.9401,$12.28M,2006,Capital Goods,Specialty Chemicals
GK,"G&K Services, Inc.",72.5,$1.43B,n/a,Consumer Services,Other Consumer Services
WILC,"G. Willi-Food International,  Ltd.",3.66,$48.46M,n/a,Consumer Non-Durables,Food Distributors
GAIA,"Gaiam, Inc.",7.75,$190.11M,1999,Consumer Services,Movies/Entertainment
GLPG,Galapagos NV,49.28,$1.93B,2015,Health Care,Major Pharmaceuticals
GALT,Galectin Therapeutics Inc.,1.54,$44.63M,n/a,Health Care,Major Pharmaceuticals
GALTU,Galectin Therapeutics Inc.,4.19,n/a,n/a,Health Care,Major Pharmaceuticals
GALTW,Galectin Therapeutics Inc.,0.3499,n/a,n/a,Health Care,Major Pharmaceuticals
GALE,"Galena Biopharma, Inc.",1.28,$232.75M,n/a,Health Care,Major Pharmaceuticals
GLMD,Galmed Pharmaceuticals Ltd.,5.55,$61.61M,2014,Health Care,Major Pharmaceuticals
GLPI,"Gaming and Leisure Properties, Inc.",33.36,$4.87B,n/a,Consumer Services,Real Estate Investment Trusts
GPIC,Gaming Partners International Corporation,9.07,$71.91M,n/a,Consumer Non-Durables,Recreational Products/Toys
GRMN,Garmin Ltd.,40.28,$7.62B,2000,Capital Goods,Industrial Machinery/Components
GGAC,Garnero Group Acquisition Company,9.6,$178.59M,2014,Consumer Non-Durables,Apparel
GGACR,Garnero Group Acquisition Company,0.1,n/a,2014,Consumer Non-Durables,Apparel
GGACU,Garnero Group Acquisition Company,10.01,$130.77M,2014,Consumer Non-Durables,Apparel
GGACW,Garnero Group Acquisition Company,0.0405,n/a,2014,Consumer Non-Durables,Apparel
GARS,Garrison Capital Inc.,10.27,$166.92M,2013,n/a,n/a
GCTS,"GCT Semiconductor, Inc.",n/a,n/a,n/a,n/a,n/a
GENC,Gencor Industries Inc.,14.745,$140.64M,n/a,Capital Goods,Construction/Ag Equipment/Trucks
GNCMA,"General Communication, Inc.",17.32,$665.8M,n/a,Public Utilities,Telecommunications Equipment
GFN,General Finance Corporation,4.26,$111.08M,n/a,Consumer Services,Other Specialty Stores
GFNCP,General Finance Corporation,81.8986,n/a,n/a,Consumer Services,Other Specialty Stores
GFNSL,General Finance Corporation,22.2,n/a,n/a,Consumer Services,Other Specialty Stores
GENE,Genetic Technologies Ltd,2.2,$25.16M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GNMK,"GenMark Diagnostics, Inc.",5.33,$228.06M,2010,Health Care,Medical/Dental Instruments
GNCA,"Genocea Biosciences, Inc.",3.69,$104.4M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GHDX,"Genomic Health, Inc.",27.23,$898.07M,2005,Health Care,Medical Specialities
GNST,GenSight Biologics S.A.,n/a,n/a,n/a,n/a,n/a
GNTX,Gentex Corporation,16.22,$4.68B,n/a,Capital Goods,Auto Parts:O.E.M.
THRM,Gentherm Inc,35.75,$1.3B,n/a,Capital Goods,Auto Parts:O.E.M.
GNVC,"GenVec, Inc.",0.69,$11.91M,2000,Health Care,Major Pharmaceuticals
GTWN,"Georgetown Bancorp, Inc.",20.3,$37.37M,n/a,Finance,Major Banks
GEOS,Geospace Technologies Corporation,17.33,$230.98M,n/a,Capital Goods,Industrial Machinery/Components
GABC,"German American Bancorp, Inc.",31.35,$477.19M,n/a,Finance,Major Banks
GERN,Geron Corporation,2.75,$437.14M,1996,Health Care,Major Pharmaceuticals
GEVO,"Gevo, Inc.",0.2935,$6.9M,2011,Basic Industries,Major Chemicals
ROCK,"Gibraltar Industries, Inc.",27.73,$869.08M,1993,Capital Goods,Steel/Iron Ore
GIGM,GigaMedia Limited,2.59,$28.63M,n/a,Technology,"Computer Software: Programming, Data Processing"
GIGA,Giga-tronics Incorporated,1.2,$11.46M,1983,Capital Goods,Electrical Products
GIII,"G-III Apparel Group, LTD.",39.16,$1.78B,1989,Consumer Non-Durables,Apparel
GILT,Gilat Satellite Networks Ltd.,4.61,$204.38M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
GILD,"Gilead Sciences, Inc.",83.9,$111.74B,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GBCI,"Glacier Bancorp, Inc.",25.36,$1.93B,n/a,Finance,Major Banks
GLAD,Gladstone Capital Corporation,7.06,$165.1M,2001,n/a,n/a
GLADO,Gladstone Capital Corporation,24.7601,$54.47M,n/a,n/a,n/a
GOOD,Gladstone Commercial Corporation,17.55,$413.7M,2003,Consumer Services,Real Estate
GOODN,Gladstone Commercial Corporation,25.5899,n/a,n/a,Consumer Services,Real Estate
GOODO,Gladstone Commercial Corporation,25.62,$29.46M,n/a,Consumer Services,Real Estate
GOODP,Gladstone Commercial Corporation,25.7099,$25.71M,n/a,Consumer Services,Real Estate
GAIN,Gladstone Investment Corporation,6.74,$204.03M,2005,n/a,n/a
GAINN,Gladstone Investment Corporation,24.37,n/a,n/a,n/a,n/a
GAINO,Gladstone Investment Corporation,25.07,n/a,n/a,n/a,n/a
GAINP,Gladstone Investment Corporation,25.75,n/a,n/a,n/a,n/a
LAND,Gladstone Land Corporation,10.56,$105.53M,2013,Consumer Services,Real Estate Investment Trusts
GLBZ,Glen Burnie Bancorp,10.32,$28.65M,n/a,Finance,Major Banks
GBT,"GLOBAL BLOOD THERAPEUTICS, INC.",18.33,$559.56M,2015,Health Care,Major Pharmaceuticals
ENT,Global Eagle Entertainment Inc.,7.87,$618.96M,2011,Consumer Services,Telecommunications Equipment
GBLI,Global Indemnity plc,30.78,$539.81M,n/a,Finance,Property-Casualty Insurers
GBLIZ,Global Indemnity plc,24.45,n/a,n/a,Finance,Property-Casualty Insurers
GPAC,Global Partner Acquisition Corp.,9.63,$186.88M,2015,Finance,Business Services
GPACU,Global Partner Acquisition Corp.,9.76,n/a,2015,Finance,Business Services
GPACW,Global Partner Acquisition Corp.,0.18,n/a,2015,Finance,Business Services
SELF,"Global Self Storage, Inc.",4.7348,$35.12M,n/a,Consumer Services,Real Estate Investment Trusts
GSOL,Global Sources Ltd.,8.75,$208.99M,n/a,Consumer Services,Advertising
GWRS,"Global Water Resources, Inc.",7.05,$136.81M,2016,Public Utilities,Water Supply
ACTX,Global X Guru Activist ETF,12.95,n/a,n/a,n/a,n/a
BFIT,Global X Health & Wellness Thematic ETF,15.1599,n/a,n/a,n/a,n/a
LNGR,Global X Longevity Thematic ETF,15.39,n/a,n/a,n/a,n/a
MILN,Global X Millennials Thematic ETF,14.87,n/a,n/a,n/a,n/a
QQQC,Global X NASDAQ China Technology ETF,19.444,$15.56M,n/a,n/a,n/a
CATH,Global X S&P 500 Catholic Values ETF,24.84,n/a,n/a,n/a,n/a
SOCL,Global X Social Media Index ETF,18.79,$77.98M,n/a,n/a,n/a
ALTY,Global X SuperDividend Alternatives ETF,14.6819,n/a,n/a,n/a,n/a
SRET,Global X SuperDividend REIT ETF,14.549,$2.91M,n/a,n/a,n/a
YLCO,Global X Yieldco Index ETF,10.798,$2.7M,n/a,n/a,n/a
GBIM,"GlobeImmune, Inc.",1.96,$11.27M,2014,Health Care,Major Pharmaceuticals
GLBS,Globus Maritime Limited,0.412,$4.25M,n/a,Transportation,Marine Transportation
GLRI,Glori Energy Inc,0.2108,$6.88M,n/a,Energy,Oil & Gas Production
GLUU,Glu Mobile Inc.,2.33,$308.28M,2007,Technology,EDP Services
GLYC,"GlycoMimetics, Inc.",6.22,$120.36M,2014,Health Care,Major Pharmaceuticals
GOGO,Gogo Inc.,9.74,$837.21M,2013,Consumer Services,Telecommunications Equipment
