Symbol
XXII
FAX
IAF
CH
ABE           
FCO
IF
ISL
ACU
AIII
ATNM
AE
ADK
ADK^A
ACY
WGA
AIRI
AA^
AXU
AAU
APT
AAMC
DIT
ADGE
AFCO
ALN
AMS
AMPE
APHB
AXN
AMCO
HRT
AKG
AINC
ASB.WS
AST
AST.WS
AWX
ASM
BTG
BTN
BKJ
BCV
BAA
BHB
BRN
BGSF
BPMX
BTX
BTX.WS
BGI
BZM
MHE
BLE
BLJ
BFY
BHV
BDR
BRG
BRG^A
BVX
BWL.A
BTI
CANF
ROX
CAW
CVM
CVM.WS
CEF
CET
LEU
CCF
CQH
CQP
LNG
CVR
CNR
CPHI
CKX
GLV
GLQ
GLO
MOC
CIX
LODE
CTO
MCF
CUO
CMT
CVRS
CRMD
CRF
CLM
CVU
CIK
DHY
CRHM
CRVP
DAKP
DXR
VCF
VFL
VMM
DLA
DNN
DGSE
DPW
DSS
DMF
DXI
GRF
ESTE
EVM
EIA
CEV
EVV
MAB
MMV
MIW
EMI
EIM
EIV
EMJ
EVJ
ENX
NYH
EVY
EIO
EVO
EIP
EVP
ELMD
ETAK
ELLO
ECF
EMAN
MSN
UUUU
ENRJ
ENRJ^
ENSV
ESNC
EGI
EVI
ERB
ERN
ESP
EMXX
EVBN
EPM
EPM^A
XRA
FPP
FPP.WS
FEN
BDL
FSI
FTF
FSP
FRD
GGN
GGN^B
EGAS
GST
GST^A
GST^B
JOB
GMO
GIG
GSB
GSAT
GLOW
GORO
GSV
AUMN
GSS
GV
GRC
GTE
GPL
SIM
GVP
HCHC
HEB
HLM^
HMG
HH
HUSA
IBIO
IBO
IDI
IEC
IMUC
IMH
IMO
IOT
IRT
IGC
INFU
IHT
NSPR
IFMI
IDN
INS
THM
INTT
INUV
VKI
ISR
ISDR
JRJR
KIQ
KLDX
LTS
LTS^A
LAQ
LGL
LBY
LIQT
LEI
MCZ
MVG
MJCO
MSTX
MHH
MDGN
IPB
MXC
CCA
MGT
MLSS
MGH
MGN
MVF
MZA
NNVC
NHC
NAVB
NTIP
NBW
NHS
NBH
NML
NBO
NRO
UWN
NSU
GBR
NEN
NGD
HLTH
NSAT
NAK
NOG
NBY
NCQ
NG
NTN
NVX
NZH
NCB
CFD
CTF
NOM
NMZ
NJV
NYV
NPN
JRS
OCX
OGEN
TIS
ONVO
ONP
OSG
OSGB
ORM
PHF
PCG^A
PCG^B
PCG^C
PCG^D
PCG^E
PCG^G
PCG^H
PCG^I
PTN
PARR
PZG
PRK
PED
PFNX
PIP
HNW
PLG
PLM
PW
PW^A
PLX
PVCT
PVCT.WS
RLGT
RLGT^A
UTG
REED
RWC
RCG
RVP
RNN
RIC
REI
RIF
SGA
SSN
SPP
SAND          
SEB
SENS
SVT
SIF
SKY
SLI
XPL
SCE^B
SCE^C
SCE^D
SCE^E
SGB
LOV
STRP
SSY
SDPI
STS
SYRG
SYN
TRX
TGB
TIK
TGC
GLU
GLU^A
TXMD
TGD
TOF
TMP
TAT
TRXC
TPLM
TPHS
TRT
HTM
UFAB
UAMY
UUU
UQM
URG
UEC
VSR
VII
VHC
VGZ
VNRX
VISI
EAD
ERC
ERH
SBI
WRN
WYY
WTT
XTNT
YUMA
YUMA^A
