,Date,Price,Signal,
BANF,1/8/2015,60.81,BUY,107.49
BANF,1/2/2015,63.31,SELL,107.71
BANF,12/17/2014,62.73,BUY,106.94
BANF,12/10/2014,63.37,SHORT,106.3
BANF,12/3/2014,63.13,BUY,106.32
BANF,11/17/2014,68.5925,SELL,106.53
BANF,10/21/2014,65.44,BUY,101.84
BANF,10/17/2014,63.79,SELL,102.04
BANF,10/13/2014,63.12,BUY,101.17
BANF,9/24/2014,64.82,SELL,101.37
BANF,9/8/2014,64.39,BUY,100.9
BANF,8/28/2014,63.43,SELL,101.1
BANF,8/11/2014,60.725,BUY,96.98
BANF,8/7/2014,60.884,SHORT,97.12
BANF,8/5/2014,60.78,BUY,97.34
BANF,7/29/2014,60.57,SHORT,98.07
BANF,7/18/2014,61.105,BUY,99.33
BANF,7/8/2014,62.44,SELL,99.53
BANF,7/1/2014,62.17,BUY,99.3
BANF,6/23/2014,61.85,SELL,99.5
BANF,6/18/2014,61.913,BUY,99.8
,,,,
BANFP,11/18/2014,27.98,QUIT,101.82
BANFP,10/14/2014,27.3699,BUY,99.8
,,,,
BANR,5/18/2016,41.88,BUY,166.87
BANR,5/13/2016,41.52,SHORT,169
BANR,5/6/2016,41.98,BUY,171.56
BANR,4/25/2016,42.595,SELL,171.9
BANR,4/11/2016,40.53,BUY,163.89
BANR,4/5/2016,41.945,SELL,164.22
BANR,3/29/2016,41.39,BUY,162.37
BANR,3/23/2016,42,SELL,162.7
BANR,3/17/2016,42.13,BUY,163.53
BANR,3/9/2016,41.49,SELL,163.86
BANR,3/1/2016,40.01,BUY,158.33
BANR,2/18/2016,38.98,SHORT,163.28
BANR,2/16/2016,38.74,BUY,162.93
BANR,2/3/2016,40.45,SHORT,156.95
BANR,1/29/2016,40.96,BUY,159.57
BANR,1/8/2016,43.53,SHORT,151.28
BANR,1/6/2016,44.77,BUY,156.21
BANR,12/31/2015,46.32,SHORT,151.76
BANR,12/15/2015,46.675,BUY,153.54
BANR,12/2/2015,51.62,SELL,153.85
BANR,11/17/2015,51.2816,BUY,153.15
BANR,11/12/2015,52.36,SELL,153.46
BANR,10/29/2015,50.46,BUY,148.19
BANR,10/27/2015,48.84,SELL,148.49
BANR,10/16/2015,49.12,BUY,149.64
BANR,10/14/2015,48.54,SELL,149.94
BANR,10/7/2015,47.91,BUY,148.29
BANR,10/2/2015,47.11,SELL,148.59
BANR,9/23/2015,45.32,BUY,143.23
BANR,9/17/2015,46.635,SELL,143.52
BANR,8/31/2015,43.7983,BUY,135.06
BANR,8/18/2015,47.39,SHORT,126.05
BANR,8/14/2015,47.17,BUY,125.97
BANR,8/7/2015,47.52,SELL,126.22
BANR,7/28/2015,47.15,BUY,125.49
BANR,7/24/2015,47.89,SELL,125.74
BANR,7/22/2015,48.78,BUY,128.33
BANR,7/2/2015,47.83,SELL,128.59
BANR,6/5/2015,45.67,BUY,123.03
BANR,5/29/2015,45.295,SHORT,124.55
BANR,5/27/2015,45.265,BUY,124.97
BANR,5/21/2015,45.89,SELL,125.22
BANR,5/19/2015,45.9,BUY,125.5
BANR,5/15/2015,45.04,SHORT,128.46
BANR,5/11/2015,45.06,BUY,129.03
BANR,4/30/2015,45.84,SELL,129.29
BANR,4/28/2015,46.57,BUY,131.61
BANR,4/21/2015,45.28,SELL,131.87
BANR,3/12/2015,44.34,BUY,129.39
BANR,3/10/2015,43.61,SELL,129.65
BANR,3/3/2015,44.4,BUY,132.26
BANR,2/19/2015,44.61,SELL,132.53
BANR,1/22/2015,40.35,BUY,120.11
BANR,1/12/2015,41.41,SHORT,117.58
BANR,1/8/2015,41.715,BUY,118.92
BANR,12/31/2014,43.25,SELL,119.16
BANR,12/18/2014,42.69,BUY,117.85
BANR,12/10/2014,42.565,SELL,118.09
BANR,12/3/2014,41.37,BUY,115
BANR,12/1/2014,41.14,SHORT,116.11
BANR,11/25/2014,41.4,BUY,117.31
BANR,11/17/2014,42.92,SELL,117.55
BANR,10/13/2014,38.295,BUY,105.09
BANR,10/9/2014,38.22,SHORT,105.72
BANR,10/3/2014,38.9,BUY,108.03
BANR,9/15/2014,39.6,SELL,108.25
BANR,9/11/2014,39.64,BUY,108.58
BANR,9/9/2014,39.54,SELL,108.8
BANR,9/3/2014,39.575,BUY,109.11
BANR,8/28/2014,39.79,SELL,109.33
